BookingID#:,BookingDate:,WeekofYear:,BookingConfirmation:,BookingStatus:,MBL:,TransportationMode:,Non-Managed:,HBL:,OriginOffice:,DestOffice:,Sub-DestOffice:,ReleaseType:,BookingParty:,Term:,Shipper:,VendorCode:,Consignee:,PlaceofReceipt:,PlaceofDelivery:,DeliveryType:,Commodity:,EquipmentType/Qty:,ShippedType/Qty:,Commodity2:,EquipmentType/Qty:,ShippedType/Qty:,VendorReference:,POReadyDate:,LoadPort:,CurrentETD:,ATD:,DischPort:,CurrentETA:,ATA:,Carrier:,Vessel:,Voyage:,CustomerRemarks:,FeederVessel:,ApprovalStatus:,ApprovalDate:,ApprovedBy:,ApprovalRemark:
WB03686748,01/05/2022,8,MLCWSGN2202038,CONFIRMED,ONEYSGNC39811400,SEA,#,MLCWSGN2202038,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-EUR) OLDENZAALNL,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,2/16/2022,CAI MEP&nbsp;VN,2/24/2022 00:00 AM,2/24/2022 00:00 AM,ROTTERDAM&nbsp;NL,3/30/2022 00:00 AM,3/30/2022 00:00 AM,OCEAN NETWORK EXPRESS,YM WREATH,019W,#,Direct service,#,ACCEPTED,01/12/2022,spanx,#,1.,NYKU0816101,LCL,VN1464486A,53,CTNS,01/03/0200,314.800,2/16/2022,2/18/2022,VIETNAM (VN),,,
WB03953729,4/22/2022,21,DMCA220519.12,CONFIRMED,YMLUW490418177,SEA,#,DHCM5220343,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-CAN) MISSISSAUGAON,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,05/11/2022,CAI MEP&nbsp;VN,5/27/2022 00:00 AM,5/27/2022 00:00 AM,VANCOUVER&nbsp;BRITISH COLUMBIA,7/16/2022 00:00 AM,#,YANG MING,YM TRUTH,009E,#,Direct service,#,ACCEPTED,5/17/2022 00:00 AM,spanx,#,1.,BMOU6190229,LCL,YMAK638262,58,CTNS,01/04/0400,420.300,05/12/2022,5/19/2022,VIETNAM (VN),,,
WB05271781,4/22/2022,20,25968255,CONFIRMED,KMTCSGN4228773,SEA,#,63Z8156778,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-ASIA) HONG KONGHK,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,05/11/2022,HO CHI MINH&nbsp;VN,5/15/2022 00:00 AM,5/15/2022 00:00 AM,HONG KONG&nbsp;HK,5/19/2022 00:00 AM,5/19/2022 00:00 AM,KMTC,KMTC BANGKOK,2205N,#,Direct service,#,ACCEPTED,4/26/2022 00:00 AM,spanx,#,1.,FFAU1030229,LCL,KMB282373,31,CTNS,01/01/0460,142.900,05/10/2022,5/13/2022,VIETNAM (VN),,,
WB06299736,01/12/2022,11,63Z8147020,CONFIRMED,ONEYSGNC53671400,SEA,#,63Z8147020,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-ACME) SILER CITYNC,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,2/26/2022,CAI MEP&nbsp;VN,3/17/2022 00:00 AM,3/17/2022 00:00 AM,NEW YORK&nbsp;NY,05/11/2022,05/11/2022,OCEAN NETWORK EXPRESS,ONE STORK,016E,#,1st vessel: ym witness 033e. transshipment port: sin etd sin mar 31,#,ACCEPTED,03/03/2022,spanx,#,1.,SEGU5941810,LCL,VN1238486A,79,CTNS,01/10/0030,1851.800,03/05/2022,03/09/2022,VIETNAM (VN),,,
WB10210243,3/31/2022,19,99680290,CONFIRMED,HLCUSGN2204AWGB9,SEA,#,63Z8155251,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-APT9) SILER CITYNC,CY/CY DOOR,#,20'SD x 1,20'SD x 1,#,#,#,#,4/29/2022,VUNG TAU&nbsp;VN,05/10/2022,05/10/2022,NORFOLK&nbsp;VA,6/24/2022 00:00 AM,6/24/2022 00:00 AM,HAPAG LLOYD,ONE HELSINKI,048E,#,Direct service,#,ACCEPTED,04/05/2022,spanx,#,1.,HLBU1220299,20'SD,HLB9013930,145,CTNS,17.648,3113.900,05/04/2022,05/06/2022,VIETNAM (VN),,,
WB10469257,06/08/2022,32,,PENDING,#,SEA,#,#,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-UKSW) SWINDONUK,CFS/CFS DOOR,#,LCL x 1,#,#,#,#,#,7/29/2022,CAI MEP&nbsp;VN,08/06/2022,#,ROTTERDAM&nbsp;NL,8/31/2022 00:00 AM,#,OCEAN NETWORK EXPRESS,ONE IBIS,025W,#,#,#,ACCEPTED,06/09/2022,spanx,#,1.,TBA1,LCL,,15,,0.590,01/11/0600,,,,,,
WB10935766,5/15/2022,26,63Z8157954,CONFIRMED,ONEYSGNCH8216702,SEA,#,63Z8157954,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(INNODP) BUFORDGA,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,6/16/2022,CAI MEP&nbsp;VN,6/26/2022 00:00 AM,6/26/2022 00:00 AM,NEW YORK&nbsp;NY,7/30/2022 00:00 AM,#,OCEAN NETWORK EXPRESS,ONE HANGZHOU BAY,046E,#,Direct service,#,ACCEPTED,6/21/2022 00:00 AM,spanx,#,1.,SEGU5944466,LCL,VN1632189A,164,CTNS,01/07/0040,1248.800,6/15/2022,6/18/2022,VIETNAM (VN),,,
WB11944374,11/10/2021,50,MLCWSGN2112017,CONFIRMED,ONEYSGNBAD174500,SEA,#,MLCWSGN2112017,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,SEAWAY BILL,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-EUR) OLDENZAALNL,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,11/29/2021,CAI MEP&nbsp;VN,12/14/2021 00:00 AM,12/14/2021 00:00 AM,ROTTERDAM&nbsp;NL,1/17/2022 00:00 AM,1/17/2022 00:00 AM,OCEAN NETWORK EXPRESS,ONE OWL,017W,#,Direct service,#,ACCEPTED,12/06/2021,spanx,#,1.,TEMU8725920,LCL,VN1463366A,34,CTNS,01/01/0520,164.400,12/02/2021,12/06/2021,VIETNAM (VN),,,
WB12109692,4/25/2022,22,MLCWSGN2205109,CONFIRMED,ONEYSGNCE4969801,SEA,#,MLCWSGN2205109,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-EUR) OLDENZAALNL,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,5/21/2022,CAI MEP&nbsp;VN,06/02/2022,06/02/2022,ROTTERDAM&nbsp;NL,07/02/2022,#,OCEAN NETWORK EXPRESS,YM WREATH,020W,#,Direct service,#,ACCEPTED,4/26/2022 00:00 AM,spanx,#,1.,FFAU3656654,LCL,VN1550350A,174,CTNS,01/12/0310,1350.300,5/21/2022,5/26/2022,VIETNAM (VN),,,
WB19446431,02/08/2022,13,DMCA220315.07,CONFIRMED,YMLUW490413895,SEA,#,DHCM5220155,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-CAN) MISSISSAUGAON,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,03/03/2022,CAI MEP&nbsp;VN,3/30/2022 00:00 AM,3/30/2022 00:00 AM,VANCOUVER&nbsp;BRITISH COLUMBIA,5/25/2022 00:00 AM,5/25/2022 00:00 AM,YANG MING,YM TRIUMPH,009E,#,Direct service,#,ACCEPTED,3/17/2022 00:00 AM,spanx,#,1.,TEMU8793586,LCL,YMAK209179,9,CTNS,1.000,16.800,3/17/2022,3/22/2022,VIETNAM (VN),,,
WB21922767,5/22/2022,30,19352197,CONFIRMED,HLCUSGN220607090,SEA,#,63Z8158710,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-APT9) SILER CITYNC,CY/CY DOOR,#,40HQ x 2,#,#,#,#,#,6/23/2022,CAI MEP&nbsp;VN,7/26/2022 00:00 AM,#,NORFOLK&nbsp;VA,8/14/2022 00:00 AM,#,HAPAG LLOYD,WAN HAI 625,E004,#,Direct service,#,APPROVAL PENDING,#,#,#,1./2./,TBA1/TBA2/,40HQ/40HQ/,//,0/0/,//,0.000/0.000/,0.000/0.000/,//,//,//,//,
WB22992710,01/05/2022,7,DMCA220217.13,CONFIRMED,OOLU2691207611,SEA,#,DHCM5220094,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-CAN) MISSISSAUGAON,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,2/14/2022,HO CHI MINH&nbsp;VN,2/18/2022 00:00 AM,2/18/2022 00:00 AM,VANCOUVER&nbsp;BRITISH COLUMBIA,04/09/2022,04/09/2022,OOCL,OOCL OAKLAND,107E,#,1st vessel: ym celebrity 032etranshipment port :kaohsiung etd kaohsiung: 07 mar 2022,#,ACCEPTED,2/14/2022 00:00 AM,spanx,#,1.,FFAU3392757,LCL,OOLHDL1772,21,CTNS,01/01/0700,153.900,2/14/2022,2/17/2022,VIETNAM (VN),,,
WB26943818,11/22/2021,52,63Z8143811,CONFIRMED,HDMUSGNM29299311,SEA,#,63Z8143811,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-APT9) SILER CITYNC,CFS/CY DOOR,#,LCL x 1,LCL x 1,#,#,#,#,12/16/2021,VUNG TAU&nbsp;VN,12/28/2021 00:00 AM,12/28/2021 00:00 AM,NORFOLK&nbsp;VA,02/12/2022,02/12/2022,HYUNDAI,ONE HELSINKI,0047E,#,Direct service,#,ACCEPTED,12/21/2021 00:00 AM,spanx,#,1.,TRHU2170284,20'SD,193267372,253,CTNS,17.530,1619.000,12/20/2021,12/24/2021,VIETNAM (VN),,,
WB32343832,3/13/2022,15,6330806169,CONFIRMED,COSU6330806169,SEA,#,63Z8154504,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-APT9) SILER CITYNC,CY/CY DOOR,#,40HQ x 1,40HQ x 1,#,#,#,#,04/05/2022,HO CHI MINH&nbsp;VN,04/11/2022,04/11/2022,NORFOLK&nbsp;VA,06/11/2022,06/11/2022,COSCO,CMA CGM CORTE REAL,0TUO5S1MA,#,1st vessel: spirit of cape town 011stranshipment port :singapore etd singapore: may 07.,#,ACCEPTED,04/05/2022,spanx,#,1.,CSNU6976406,40HQ,21437873,757,CTNS,52.554,6794.800,04/08/2022,04/08/2022,VIETNAM (VN),,,
WB32734913,10/20/2021,46,63Z8141925,CONFIRMED,ONEYSGNBX0006700,SEA,#,63Z8141925,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-SRTL) BUFORDGA,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,10/29/2021,CAI MEP&nbsp;VN,11/13/2021 00:00 AM,11/13/2021 00:00 AM,NEW YORK&nbsp;NY,12/14/2021 00:00 AM,12/14/2021 00:00 AM,OCEAN NETWORK EXPRESS,HYUNDAI FAITH,097E,#,Direct service,#,ACCEPTED,11/05/2021,spanx,#,1.,CAIU5831523,LCL,VN1322266A,38,CTNS,01/01/0630,161.090,11/04/2021,11/08/2021,VIETNAM (VN),,,
WB33851083,3/26/2022,17,ONEYSGNCA4077803,CONFIRMED,ONEYSGNCA4077803,SEA,#,63Z8154854,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-ACME) SILER CITYNC,CY/CY DOOR,#,20'SD x 1,20'SD x 1,#,#,#,#,4/16/2022,CAI MEP&nbsp;VN,4/26/2022 00:00 AM,4/26/2022 00:00 AM,NORFOLK&nbsp;VA,6/24/2022 00:00 AM,6/24/2022 00:00 AM,OCEAN NETWORK EXPRESS,MONACO BRIDGE,018E,#,Direct service,#,ACCEPTED,4/18/2022 00:00 AM,spanx,#,1.,CRSU1442739,20'SD,VN1235864A,140,CTNS,17.080,3137.400,4/20/2022,4/20/2022,VIETNAM (VN),,,
WB35424219,5/22/2022,26,MLCWSGN2206117,CONFIRMED,ONEYSGNCH8860500,SEA,#,MLCWSGN2206117,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-EUR) OLDENZAALNL,CFS/CFS DOOR,#,LCL x 1,#,#,#,#,#,6/23/2022,CAI MEP&nbsp;VN,6/30/2022 00:00 AM,#,ROTTERDAM&nbsp;NL,7/25/2022 00:00 AM,#,OCEAN NETWORK EXPRESS,ONE MANHATTAN,029W,#,Direct service,#,ACCEPTED,5/26/2022 00:00 AM,spanx,#,1.,TCLU8237595,LCL,VN1550454A,192,CTNS,14.530,1621.200,6/23/2022,6/23/2022,VIETNAM (VN),,,
WB36676137,5/23/2022,27,MLCWSGN2207020,CONFIRMED,#,SEA,#,MLCWSGN2207020,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-EUR) OLDENZAALNL,CFS/CFS DOOR,#,LCL x 1,#,#,#,#,#,6/29/2022,CAI MEP&nbsp;VN,07/06/2022,#,ROTTERDAM&nbsp;NL,7/31/2022 00:00 AM,#,OCEAN NETWORK EXPRESS,ONE CRANE,021W,#,Direct service,#,ACCEPTED,5/26/2022 00:00 AM,spanx,#,1.,TBA1,LCL,,11,,0.432,72.800,,,,,,
WB37583985,12/24/2021,5,63Z8145742,CONFIRMED,ZIMUHCM80234178,SEA,#,63Z8145742,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,SEAWAY BILL,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-SRTL) BUFORDGA,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,1/21/2022,CAI MEP&nbsp;VN,02/02/2022,02/02/2022,NEW YORK&nbsp;NY,3/30/2022 00:00 AM,3/30/2022 00:00 AM,ZIM,MELINA,31W,#,Direct service,#,ACCEPTED,1/28/2022 00:00 AM,spanx,#,1.,TRHU8499997,LCL,A4210354166,431,CTNS,17.360,2310.000,1/25/2022,1/30/2022,VIETNAM (VN),,,
WB37867464,3/30/2022,17,220429.03,CONFIRMED,OOLU2696827030,SEA,#,DHCM5220267,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-CAN) MISSISSAUGAON,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,4/19/2022,HO CHI MINH&nbsp;VN,4/28/2022 00:00 AM,4/28/2022 00:00 AM,VANCOUVER&nbsp;BRITISH COLUMBIA,6/16/2022 00:00 AM,6/16/2022 00:00 AM,OOCL,OOCL CHICAGO,082E,#,1st vessel: amalia c 110ntranshipment port :kaohsiung etd kaohsiung: may 06,#,ACCEPTED,4/25/2022 00:00 AM,spanx,#,1.,OOLU9482620,LCL,OOLHLE4932,102,CTNS,01/06/0400,658.390,4/19/2022,4/22/2022,VIETNAM (VN),,,
WB44644685,02/11/2022,14,MLCWSGN2203109,CONFIRMED,ONEYSGNC84122600,SEA,#,MLCWSGN2203109,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-EUR) OLDENZAALNL,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,3/18/2022,CAI MEP&nbsp;VN,04/02/2022,04/02/2022,ROTTERDAM&nbsp;NL,05/07/2022,05/07/2022,OCEAN NETWORK EXPRESS,ONE COLUMBA,014W,#,Direct service,#,ACCEPTED,3/25/2022 00:00 AM,spanx,#,1.,TCNU8369686,LCL,VN1263532A,434,CTNS,29.120,3816.400,3/23/2022,3/25/2022,VIETNAM (VN),,,
WB48349422,02/08/2022,11,63Z8148162,CONFIRMED,ONEYSGNC53671400,SEA,#,63Z8148162,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-SRTL) BUFORDGA,CFS/CFS DOOR,#,LCL x 1,LCL x 1,#,#,#,#,03/03/2022,CAI MEP&nbsp;VN,3/17/2022 00:00 AM,3/17/2022 00:00 AM,NEW YORK&nbsp;NY,05/11/2022,05/11/2022,OCEAN NETWORK EXPRESS,ONE STORK,016E,#,1st vessel: ym witness 033e. transshipment port: sin etd sin mar 31,#,ACCEPTED,03/03/2022,spanx,#,1.,SEGU5941810,LCL,VN1238486A,48,CTNS,01/01/0930,241.700,03/05/2022,03/09/2022,VIETNAM (VN),,,
WB48534565,01/05/2022,8,SGNC29824700,CONFIRMED,ONEYSGNC29824700,SEA,#,63Z8146765,VNM - TOPOCEAN CONSOLIDATION SERVICE (VIET NAM) COMPANY LIMITED,LAX - TOPOCEAN CONSOLIDATION SERVICE (LAX) INC,-,TELEX,DELTA GALIL VIETNAM. LTD,FOB,DELTA GALIL VIETNAM. LTD,DLTV-C,SPANX,HO CHI MINH&nbsp;VN,A-(W-APT9) SILER CITYNC,CY/CY DOOR,#,40HQ x 1,40HQ x 1,#,#,#,#,2/14/2022,CAI MEP&nbsp;VN,2/21/2022 00:00 AM,2/21/2022 00:00 AM,NORFOLK&nbsp;VA,4/15/2022 00:00 AM,4/13/2022 00:00 AM,OCEAN NETWORK EXPRESS,ONE MINATO,016E,#,Direct service,#,ACCEPTED,02/11/2022,spanx,#,1.,KKFU7646900,40HQ,VN1426105A,768,CTNS,52.240,6982.500,2/15/2022,2/16/2022,VIETNAM (VN),,,
